,key,sum(summ),sum(count),total
3082,Pointed-Round Paintbrushes,665.0,150,4.433333333333334
3083,Educational Psychology,2691.0,607,4.4332784184514
3084,R&B,1642964.0,370602,4.433230257796774
3085,Side Dishes,1228.0,277,4.433212996389892
3086,Men's Personal Growth,962.0,217,4.433179723502304
3087,Urban Folk,4402.0,993,4.433031218529708
3088,SPY,4566.0,1030,4.433009708737864
3089,Ocarinas,3963.0,894,4.432885906040268
3090,Picks,43482.0,9809,4.432867774492813
3091,Hoodies & Active,5776.0,1303,4.432847275518036
3092,Pots & Pans,11543.0,2604,4.432795698924731
3093,Desk Calendar Refills,2766.0,624,4.4326923076923075
3094,Public Finance,625.0,141,4.432624113475177
3095,Startups,5984.0,1350,4.432592592592592
3096,Hitches,63319.0,14285,4.432551627581379
3097,Decks & Sets,63741.0,14381,4.432306515541339
3098,Financial Aid,718.0,162,4.432098765432099
3099,Cordless,5026.0,1134,4.432098765432099
3100,Coffee & Espresso Machine Cleaning Products,4206.0,949,4.432033719704952
3101,Teddy Bears,21092.0,4759,4.432023534355957
3102,Paper Towel Dispensers & Holders,2473.0,558,4.431899641577061
3103,Paneling,7481.0,1688,4.431872037914692
3104,Arnette,1560.0,352,4.431818181818182
3105,Roller Chains,195.0,44,4.431818181818182
3106,Vitamin E,12072.0,2724,4.431718061674009
3107,Charcoal & Charcoal Starters,20931.0,4723,4.431717128943468
3108,Astronomy & Space,5504.0,1242,4.431561996779388
3109,Scotland,22366.0,5047,4.431543491182881
3110,Bolt Cutters,2486.0,561,4.431372549019608
3111,Clarinet,10037.0,2265,4.431346578366446
3112,Regulators,1161.0,262,4.431297709923665
3113,Transfer Case Components,1161.0,262,4.431297709923665
3114,Nuts,3669.0,828,4.431159420289855
3115,Industrial Motors,257.0,58,4.431034482758621
3116,Musicals,162235.0,36615,4.430834357503755
3117,Africa,58451.0,13192,4.430791388720436
3118,Writing Skills,100139.0,22601,4.430733153400292
3119,Creatine,17324.0,3910,4.430690537084399
3120,Bible,3611.0,815,4.430674846625767
3121,Personal Care Products,10939.0,2469,4.43053867962738
3122,Charcoal,2995.0,676,4.430473372781065
3123,Tango,15768.0,3559,4.4304579938184885
3124,Movie & TV Fan,101842.0,22987,4.4304171923260975
3125,Bogs,21416.0,4834,4.430285477865122
3126,Iron,12409.0,2801,4.430203498750446
3127,Beer Mugs,7806.0,1762,4.430192962542566
3128,Signal Path & Pedal Tuners,5139.0,1160,4.430172413793104
3129,Picnic Basket Sets,3584.0,809,4.430160692212608
3130,Rinses,855.0,193,4.430051813471502
3131,Drug Use,443.0,100,4.43
3132,Relief Printing Materials,1329.0,300,4.43
3133,Negotiating,3318.0,749,4.429906542056075
3134,Boxing Pads,474.0,107,4.429906542056075
3135,Animals & Figures,494513.0,111631,4.4298895468104735
3136,Blogging & Blogs,8155.0,1841,4.429657794676806
3137,Duffle Bags,1794.0,405,4.42962962962963
3138,Chainsaws & Polesaws,1196.0,270,4.42962962962963
3139,South Africa,6578.0,1485,4.42962962962963
3140,Norway,17621.0,3978,4.429612870789342
3141,Tow Hooks & Straps,7384.0,1667,4.429514097180564
3142,Cleat Covers,753.0,170,4.429411764705883
3143,Latin Children's,3827.0,864,4.429398148148148
3144,Shopping Cart Covers,877.0,198,4.429292929292929
3145,Hand-Screw Clamps,1156.0,261,4.42911877394636
3146,Business Writing,22575.0,5097,4.429075927015892
3147,Tecnica,1590.0,359,4.428969359331476
3148,Pop,11267201.0,2544064,4.428819793841664
3149,Search Engine Optimization,5248.0,1185,4.428691983122363
3150,Replacement Screens,42440.0,9583,4.428675780027131
3151,Henna,31.0,7,4.428571428571429
3152,Insulated & Down Vests,558.0,126,4.428571428571429
3153,Reception Room Tables,310.0,70,4.428571428571429
3154,Clinical,93.0,21,4.428571428571429
3155,Miss Robertson,31.0,7,4.428571428571429
3156,Input Shafts,62.0,14,4.428571428571429
3157,Payroll Books,527.0,119,4.428571428571429
3158,Temperate,186.0,42,4.428571428571429
3159,Kidney,93.0,21,4.428571428571429
3160,Worcestershire Sauce,31.0,7,4.428571428571429
3161,Marvel,62.0,14,4.428571428571429
3162,Comforter Clips,186.0,42,4.428571428571429
3163,Expansion Bolts,31.0,7,4.428571428571429
3164,Lower Conversion Gasket Sets,31.0,7,4.428571428571429
3165,Coil Ground Straps,62.0,14,4.428571428571429
3166,Catit,62.0,14,4.428571428571429
3167,Lard & Shortening,62.0,14,4.428571428571429
3168,Quick-Release Snaps,93.0,21,4.428571428571429
3169,Specimens,62.0,14,4.428571428571429
3170,Body Control Computers,31.0,7,4.428571428571429
3171,Insert Bearings,31.0,7,4.428571428571429
3172,Volumetric Pipettes,93.0,21,4.428571428571429
3173,Fire Hose Fittings,31.0,7,4.428571428571429
3174,Concerto Grossi,9499.0,2145,4.428438228438228
3175,Inks,5748.0,1298,4.428351309707242
3176,B-Complex,14041.0,3171,4.427940712708924
3177,Door Levers,15152.0,3422,4.4278199883109295
3178,Forests & Forestry,549.0,124,4.42741935483871
3179,Vacuum Bags,4392.0,992,4.42741935483871
3180,Shift Levers,2165.0,489,4.427402862985685
3181,Brass Accessories,18741.0,4233,4.42735648476258
3182,Overalls,4144.0,936,4.427350427350428
3183,Rails,1399.0,316,4.427215189873418
3184,Auctions & Small Business,2736.0,618,4.427184466019417
3185,Kick Scooters,30936.0,6988,4.427017744705209
3186,Multifunction Tools,10554.0,2384,4.427013422818792
3187,Hamsters & Gerbils,363.0,82,4.426829268292683
3188,Single Bowl,11948.0,2699,4.426824749907373
3189,Post Hole Diggers,1328.0,300,4.426666666666667
3190,Tack Care & Storage,965.0,218,4.426605504587156
3191,Peppermint Leaf,301.0,68,4.426470588235294
3192,Gymnastics,17643.0,3986,4.426241846462619
3193,Roberto Cavalli,540.0,122,4.426229508196721
3194,Utensils,2669.0,603,4.42620232172471
3195,College,3147.0,711,4.4261603375527425
3196,Kindle E-Reader Covers,16018.0,3619,4.426084553744128
3197,Hard Rock & Metal,98662.0,22292,4.425892696931634
3198,Personal Success,12919.0,2919,4.425830763960261
3199,Weight Distributing Hitches,1819.0,411,4.425790754257908
3200,NEOGEO Pocket,447.0,101,4.425742574257426
3201,Golf Equipment,16822.0,3801,4.425677453301763
3202,Bugs & Spiders,17295.0,3908,4.42553735926305
3203,Pragmatism,208.0,47,4.425531914893617
3204,Bugles,208.0,47,4.425531914893617
3205,High Temperature Tape,416.0,94,4.425531914893617
3206,Caps & Hats,131134.0,29632,4.425418466522678
3207,Lo-Fi,25428.0,5746,4.425339366515837
3208,Appointment Book & Planner Refills,9156.0,2069,4.425326244562591
3209,Drop Slot Safes,385.0,87,4.425287356321839
3210,Hair Loss,3434.0,776,4.425257731958763
3211,Chocks & Blocks,6452.0,1458,4.425240054869684
3212,Single Cards,66891.0,15116,4.425178618682191
3213,Golf Club Parts,3385.0,765,4.42483660130719
3214,Respiratory Protection,18562.0,4195,4.424791418355185
3215,Tool Bags,27646.0,6248,4.424775928297055
3216,Side-Cutting Pliers,7920.0,1790,4.424581005586592
3217,Electronic,25387.0,5738,4.424363889857093
3218,Paper Ephemera,292.0,66,4.424242424242424
3219,Sicily,146.0,33,4.424242424242424
3220,Nueva Version International,146.0,33,4.424242424242424
3221,Calypso,3734.0,844,4.424170616113744
3222,Acid Jazz,22479.0,5081,4.4241291084432195
3223,Men's Grooming & Style,1982.0,448,4.424107142857143
3224,Polishes,2150.0,486,4.423868312757202
3225,Gotta Flurt,1075.0,243,4.423868312757202
3226,Aims & Objectives,1451.0,328,4.423780487804878
3227,Giesswein,898.0,203,4.4236453201970445
3228,CDs & Vinyl,41848994.0,9460354,4.423618185957946
3229,Classical (c.1770-1830),8772.0,1983,4.423600605143721
3230,Bottling & Corking,6047.0,1367,4.423555230431602
3231,Turn Signal Lights,2141.0,484,4.4235537190082646
3232,Gelatin,982.0,222,4.423423423423423
3233,Bells & Chimes,836.0,189,4.423280423280423
3234,Nipples,3459.0,782,4.423273657289003
3235,Wine Making,9364.0,2117,4.423240434577232
3236,Emotions,13181.0,2980,4.423154362416107
3237,Straight Edge,5582.0,1262,4.423137876386688
3238,Raised Garden Kits,4516.0,1021,4.423114593535749
3239,Foot Creams & Lotions,32523.0,7353,4.423092615259078
3240,Computer Mousepads,1840.0,416,4.423076923076923
3241,Clamp-On Shaft Collars,115.0,26,4.423076923076923
3242,Center Columns,115.0,26,4.423076923076923
3243,Blower,230.0,52,4.423076923076923
3244,Passacaglias,2875.0,650,4.423076923076923
3245,Hispanic American,5719.0,1293,4.4230471771075015
3246,Insect Bite Relief,4109.0,929,4.423035522066739
3247,Broadheads,6462.0,1461,4.422997946611909
3248,Digital Scales,142820.0,32292,4.422767248854205
3249,Siding,1256.0,284,4.422535211267606
3250,Kitchen & Bar Sinks,23103.0,5224,4.422473200612558
3251,Colored Paper,827.0,187,4.422459893048129
3252,Shimano,3100.0,701,4.422253922967189
3253,Hayward,199.0,45,4.4222222222222225
3254,Embossers,199.0,45,4.4222222222222225
3255,Oral Surgery,199.0,45,4.4222222222222225
3256,Mastering Recorders,12957.0,2930,4.422184300341297
3257,Truck Bed Mats,1676.0,379,4.422163588390501
3258,Hanukkah,1079.0,244,4.422131147540983
3259,Hispanic,5523.0,1249,4.421937550040032
3260,Etonic,566.0,128,4.421875
3261,CoQ10,22016.0,4979,4.421771440048203
3262,Table Runners,10736.0,2428,4.421746293245469
3263,Practice Management & Reimbursement,1384.0,313,4.421725239616613
3264,"Syrups, Sugars & Sweeteners",13380.0,3026,4.4216787838731
3265,Statues & Bobbleheads,30319.0,6857,4.421612950269798
3266,Crisis Management,451.0,102,4.421568627450981
3267,Tactical Pouches,7919.0,1791,4.421552205471803
3268,Overalls & Coveralls,22165.0,5013,4.4215040893676445
3269,Tank Covers,535.0,121,4.421487603305785
3270,Drip Pans,4081.0,923,4.421451787648971
3271,Oldies & Retro,169630.0,38368,4.421132193494579
3272,Five Ten,3727.0,843,4.421115065243179
3273,Stuffed Animals & Plush,601518.0,136056,4.421106015170224
3274,Carpet Steamer Accessories,84.0,19,4.421052631578948
3275,Minidisc Recorders,252.0,57,4.421052631578948
3276,Telemark Skiing,168.0,38,4.421052631578948
3277,Dock Lines & Rope,4452.0,1007,4.421052631578948
3278,Center Links,84.0,19,4.421052631578948
3279,Process,168.0,38,4.421052631578948
3280,Solar System,84.0,19,4.421052631578948
3281,Claw Hammers,8002.0,1810,4.420994475138121
3282,Play Set Attachments,13307.0,3010,4.420930232558139
3283,Multi-Enzymes,21949.0,4965,4.420745216515609
3284,Norse & Viking,11635.0,2632,4.420592705167174
3285,Riot Grrl,4920.0,1113,4.420485175202156
3286,Computer Equipment Warranties,12395.0,2804,4.420470756062768
3287,Insulated,17664.0,3996,4.42042042042042
3288,Arts & Humanities,694.0,157,4.420382165605096
3289,Colloidal Minerals,8690.0,1966,4.420142421159715
3290,Handpieces & Tips,3841.0,869,4.420023014959724
3291,Whiting & Davis,442.0,100,4.42
3292,Warranties & Services,12398.0,2805,4.419964349376114
3293,Trolling Reels,800.0,181,4.419889502762431
3294,Bowling Roller Bags,2590.0,586,4.419795221843003
3295,Radiator Cooling Fan,358.0,81,4.419753086419753
3296,Massage Lotions,7951.0,1799,4.419677598665926
3297,Golf Clubs,44095.0,9977,4.419665230029067
3298,Antacids,25258.0,5715,4.419597550306212
3299,Puppets & Puppetry,548.0,124,4.419354838709677
3300,Brake Gauges,137.0,31,4.419354838709677
3301,Olive Spoons,137.0,31,4.419354838709677
3302,Sound Effects,8414.0,1904,4.419117647058823
3303,Airlocks,1856.0,420,4.419047619047619
3304,Children & Teens,5294.0,1198,4.419031719532554
3305,Hard-Shell Carriers,2099.0,475,4.418947368421053
3306,Mirror,1308.0,296,4.418918918918919
3307,Acetyl-L-Carnitine,6036.0,1366,4.418740849194729
3308,Quintets,3778.0,855,4.4187134502923975
3309,Building Sets,368781.0,83459,4.4187085874501255
3310,Potatoes,1087.0,246,4.41869918699187
3311,Double End Bits,190.0,43,4.4186046511627906
3312,Pressure in Compressor,380.0,86,4.4186046511627906
3313,Seoul,190.0,43,4.4186046511627906
3314,School & Education,2713.0,614,4.4185667752443
3315,Learning Disabled,2894.0,655,4.418320610687023
3316,Side Marker & Cornering & Combos,1352.0,306,4.4183006535947715
3317,Post-Punk,85024.0,19244,4.418208272708377
3318,Internal Frame Backpacks,25577.0,5789,4.418206944204526
3319,Antibiotics & Antiseptics,55824.0,12635,4.418203403244955
3320,Acting & Auditioning,6817.0,1543,4.4180168502916395
3321,Harley-Davidson,23212.0,5254,4.417967263037686
3322,Estates & Trusts,296.0,67,4.417910447761194
3323,F-Pin-Coaxial Tip,18126.0,4103,4.417743114794053
3324,Ribbon Microphones,349.0,79,4.417721518987341
3325,Roulette Equipment,349.0,79,4.417721518987341
3326,Mandolin Accessories,3194.0,723,4.417704011065007
3327,L-Lysine,3777.0,855,4.417543859649123
3328,Scandinavia,51186.0,11587,4.417536894795892
3329,Job Hunting,37971.0,8596,4.417287110283853
3330,Stamps & Print Kits,1842.0,417,4.41726618705036
3331,Garage Doors,15129.0,3425,4.417226277372262
3332,Swivels,7655.0,1733,4.417195614541258
3333,Clothing & Shoes,57608.0,13042,4.417113939579819
3334,Caribbean & Latin American,3516.0,796,4.417085427135678
3335,Shampoo Plus Conditioner,1917.0,434,4.417050691244239
3336,Door Viewers,2182.0,494,4.417004048582996
3337,Zoos,7902.0,1789,4.4169927333705985
3338,Argentina,15234.0,3449,4.41693244418672
3339,Detoxes & Cleanses,17217.0,3898,4.416880451513597
3340,Accessory Bundles,4673.0,1058,4.416824196597354
3341,Yemen,53.0,12,4.416666666666667
3342,T-Bolt Hose Clamps,53.0,12,4.416666666666667
3343,Cap Adapters,424.0,96,4.416666666666667
3344,Lice,106.0,24,4.416666666666667
3345,Bunting Bags,53.0,12,4.416666666666667
3346,Life,1696.0,384,4.416666666666667
3347,Suspension Forks,742.0,168,4.416666666666667
3348,U.K. Prime Ministers,53.0,12,4.416666666666667
3349,Steak Sauce,53.0,12,4.416666666666667
3350,Brooklyn,53.0,12,4.416666666666667
3351,Counters,53.0,12,4.416666666666667
3352,Discipline,106.0,24,4.416666666666667
3353,Printmaking Inks,318.0,72,4.416666666666667
3354,Wormers,15286.0,3461,4.416642588847154
3355,Bass Guitars,18823.0,4262,4.416471140309714
3356,Urban Life,84923.0,19229,4.41640230901243
3357,Thorogood,7128.0,1614,4.41635687732342
3358,Invitations & Cards,4796.0,1086,4.416206261510129
3359,"Couplings, Collars & Universal Joiners",711.0,161,4.416149068322981
3360,Preludes,10506.0,2379,4.416141235813367
3361,Card Games,135663.0,30720,4.41611328125
3362,Lutheran,1316.0,298,4.416107382550336
3363,Allergy Medicine,40274.0,9120,4.416008771929825
3364,Mitt Accessories,1603.0,363,4.415977961432507
3365,Movie Scores,229415.0,51953,4.415818143321848
3366,Life Jackets & Vests,27933.0,6326,4.415586468542523
3367,Pipettes & Pipettors,4027.0,912,4.415570175438597
3368,Kitchen Storage & Organization Accessories,45957.0,10408,4.41554573405073
3369,"Science Fiction, Fantasy & Scary Stories",153765.0,34824,4.4154893177119225
3370,Tie Rods,287.0,65,4.415384615384616
3371,Marketing & Sales,189548.0,42929,4.415383540264157
3372,Filter Accessories,42127.0,9541,4.41536526569542
3373,Kitchen Sinks,21900.0,4960,4.415322580645161
3374,Drywall Lifts,4093.0,927,4.415318230852211
3375,Litter Scoops,11546.0,2615,4.415296367112811
3376,Pipe Markers,1329.0,301,4.415282392026578
3377,Shampoo,3307.0,749,4.415220293724967
3378,Shelves & Racks,234.0,53,4.415094339622642
3379,Flanges,234.0,53,4.415094339622642
3380,Sesame,468.0,106,4.415094339622642
3381,Ski Wax,1638.0,371,4.415094339622642
3382,Folding Knives,88257.0,19990,4.4150575287643825
3383,Omega Oils,61042.0,13826,4.415015188774772
3384,Laboratory Notebooks,1245.0,282,4.414893617021277
3385,Tape Flags,3916.0,887,4.414881623449831
3386,Football Gear,8631.0,1955,4.414833759590793
3387,Headcollars,2459.0,557,4.414721723518851
3388,Adult Alternative,795801.0,180263,4.41466634861286
3389,Freestyle,5421.0,1228,4.414495114006515
3390,Mustard,490.0,111,4.414414414414415
3391,Fuel & Water Separators,490.0,111,4.414414414414415
3392,Neckties,57779.0,13089,4.414317365726946
3393,Electric Upright Basses,309.0,70,4.414285714285715
3394,Omega-3,52741.0,11948,4.414211583528624
3395,K-Swiss,18728.0,4243,4.413858119255244
3396,Record Books,4533.0,1027,4.413826679649464
3397,Prostate Disease,128.0,29,4.413793103448276
3398,Deposit Ticket Holders,384.0,87,4.413793103448276
3399,Onex,4096.0,928,4.413793103448276
3400,Snow Plows,128.0,29,4.413793103448276
3401,Nettle,1889.0,428,4.413551401869159
3402,Geography & Cultures,36190.0,8200,4.413414634146341
3403,Golf Club Bags,18059.0,4092,4.413245356793744
3404,Bow Ties & Cummerbunds,22322.0,5058,4.413206801107157
3405,Nightgowns,9175.0,2079,4.413179413179413
3406,Butter Knives,1549.0,351,4.413105413105413
3407,Customer Service,2564.0,581,4.413080895008606
3408,Motor Mounts,203.0,46,4.413043478260869
3409,Suspension,7555.0,1712,4.412967289719626
3410,Cut Resistant Gloves,4029.0,913,4.412924424972617
3411,Tom Ford,4179.0,947,4.412882787750792
3412,Medical & Insurance Forms,481.0,109,4.412844036697248
3413,"Salsas, Dips & Spreads",481.0,109,4.412844036697248
3414,Dips & Spreads,481.0,109,4.412844036697248
3415,Bidet Seats,2886.0,654,4.412844036697248
3416,Under-Seat Consoles,2352.0,533,4.412757973733584
3417,Carhartt,123426.0,27971,4.412641664581173
3418,Indoor Volleyballs,3786.0,858,4.4125874125874125
3419,Pastels,4995.0,1132,4.412544169611308
3420,Shop Tools,28871.0,6543,4.412501910438637
3421,Safety Belts & Harnesses,5992.0,1358,4.412371134020619
3422,Tie-Downs,4099.0,929,4.41227125941873
3423,Wiring,11476.0,2601,4.412149173394848
3424,Patagonia,6852.0,1553,4.412105602060528
3425,Posters & Prints,398616.0,90346,4.412104575742147
3426,Royal Jelly,1553.0,352,4.411931818181818
3427,Pressure Plates,150.0,34,4.411764705882353
3428,South Beach Diet,75.0,17,4.411764705882353
3429,Electric Hoists,75.0,17,4.411764705882353
3430,Unstrung,150.0,34,4.411764705882353
3431,Communication in Management,225.0,51,4.411764705882353
3432,Body Clips,375.0,85,4.411764705882353
3433,Romano Martegani,75.0,17,4.411764705882353
3434,Disinfectant Wipes,225.0,51,4.411764705882353
3435,Depression,24224.0,5491,4.411582589692224
3436,Scarves,27762.0,6293,4.411568409343715
3437,Goldenseal,1072.0,243,4.411522633744856
3438,Dollhouse Accessories,18691.0,4237,4.411375973566202
3439,Adult Contemporary,540539.0,122533,4.411374894926265
3440,Lecterns & Podiums,547.0,124,4.411290322580645
3441,Other Role-Playing Games,1641.0,372,4.411290322580645
3442,Blood Test Strips,29273.0,6636,4.411241711874624
3443,Haiti,1191.0,270,4.411111111111111
3444,Internal Solid State Drives,116894.0,26500,4.411094339622641
3445,Paracords,21954.0,4977,4.411091018685956
3446,Breath Strips,1438.0,326,4.411042944785276
3447,Decoupage,2479.0,562,4.411032028469751
3448,Sockets & Socket Sets,44972.0,10196,4.410749313456257
3449,Point & Shoot Digital Camera Bundles,27395.0,6211,4.410722910964418
3450,Children's eBooks,1145583.0,259727,4.410719717241565
3451,Zimbabwe,1482.0,336,4.410714285714286
3452,Finish Nailers,4737.0,1074,4.410614525139665
3453,Hunting Sharpeners,17563.0,3982,4.410597689603215
3454,Stretch Film,1676.0,380,4.410526315789474
3455,Memory,299448.0,67894,4.410522284737974
3456,Rigid Forks,591.0,134,4.41044776119403
3457,String Winders,3718.0,843,4.4104389086595495
3458,Buffet Plates,344.0,78,4.410256410256411
3459,Convertible Top Cleaners,172.0,39,4.410256410256411
3460,Door Entry Guard,1473.0,334,4.410179640718563
3461,Bed Safety Handles & Rails,7131.0,1617,4.410018552875695
3462,Autoayuda y Desarrollo Personal,5314.0,1205,4.409958506224067
3463,Food Storage,66989.0,15191,4.409782107827003
3464,Cumbia,2540.0,576,4.409722222222222
3465,African American,1181423.0,267915,4.40969337289812
3466,Hitch Plugs,732.0,166,4.409638554216867
3467,Janitorial Deodorizers,366.0,83,4.409638554216867
3468,Fluid & Liquid Handling,4048.0,918,4.40958605664488
3469,Ultimate,1949.0,442,4.409502262443439
3470,Gun Cases,2650.0,601,4.409317803660565
3471,Early Childhood Education Materials,8792.0,1994,4.4092276830491475
3472,Brake Line Tools,485.0,110,4.409090909090909
3473,Primatology,291.0,66,4.409090909090909
3474,Dancers,291.0,66,4.409090909090909
3475,Abas,194.0,44,4.409090909090909
3476,Letterer Paintbrushes,97.0,22,4.409090909090909
3477,Telemarketing,970.0,220,4.409090909090909
3478,Glue Sticks,1261.0,286,4.409090909090909
3479,Glue Guns & Sticks,1261.0,286,4.409090909090909
3480,Bow Ties,23575.0,5347,4.409014400598466
3481,Hamilton Watches,5511.0,1250,4.4088
3482,La Canadienne,3408.0,773,4.408796895213454
3483,Power Amps,820.0,186,4.408602150537634
3484,Dishwasher Parts & Accessories,30040.0,6814,4.408570589961843
3485,GUESS? Watches,14019.0,3180,4.408490566037736
3486,Mea Shadow,313.0,71,4.408450704225352
3487,Cable & Screw Posts,313.0,71,4.408450704225352
3488,Anglican,1252.0,284,4.408450704225352
3489,Girths,626.0,142,4.408450704225352
3490,Additives,17404.0,3948,4.408308004052685
3491,Sauces,2451.0,556,4.408273381294964
3492,S-Hooks,1825.0,414,4.408212560386473
3493,Parts Cleaners,216.0,49,4.408163265306122
3494,Lipase,216.0,49,4.408163265306122
3495,KIDORABLE,3888.0,882,4.408163265306122
3496,Alignment Tools,432.0,98,4.408163265306122
3497,Pinstriping Tape,4267.0,968,4.408057851239669
3498,Double Bowl,9032.0,2049,4.408003904343582
3499,Microfiber,17050.0,3868,4.407962771458118
3500,Calendars & Planners,3544.0,804,4.407960199004975
3501,Mealworms,2442.0,554,4.407942238267148
3502,Headlight Restoration Kits,17570.0,3986,4.407927747114902
3503,Bell Glides,335.0,76,4.407894736842105
3504,Aerosol Adhesives,335.0,76,4.407894736842105
3505,Saucepans,39203.0,8894,4.407803013267372
3506,Cookie Jars,15017.0,3407,4.40769004989727
3507,Lucchese,1622.0,368,4.407608695652174
3508,Replacement Blades,11918.0,2704,4.4075443786982245
3509,Sign-Writer Paintbrushes,119.0,27,4.407407407407407
3510,Beaded Trim,238.0,54,4.407407407407407
3511,Lab Matting,238.0,54,4.407407407407407
3512,Rio de Janeiro,119.0,27,4.407407407407407
3513,Ambient,94014.0,21331,4.407388308096198
3514,"Cake, Pie & Pastry Servers",8907.0,2021,4.4072241464621476
3515,Enzymes,29731.0,6746,4.407204269196561
3516,Brake Cleaners,736.0,167,4.407185628742515
3517,Compressed Air,2089.0,474,4.4071729957805905
3518,Camera Lenses,241091.0,54705,4.407110867379582
3519,Hand Paddles,1137.0,258,4.406976744186046
3520,Collated Screws,3715.0,843,4.406880189798339
3521,Disco,104772.0,23776,4.406628532974428
3522,Examination Supplies & Consumables,1604.0,364,4.406593406593407
3523,Colanders,25439.0,5773,4.406547722154859
3524,Pro Boxing Gloves,1084.0,246,4.40650406504065
3525,Hypoallergenic Cleansers,1106.0,251,4.4063745019920315
3526,Physiology,1247.0,283,4.406360424028269
3527,Success,50897.0,11551,4.406285170115142
3528,Serving Knives,1551.0,352,4.40625
3529,Long Length Drill Bits,141.0,32,4.40625
3530,Pads Inserts,6530.0,1482,4.406207827260459
3531,Saucony,73818.0,16754,4.4059925987823805
3532,Stepparenting & Blended Families,2062.0,468,4.405982905982906
3533,Newsprint Paper,304.0,69,4.405797101449275
3534,Decals,175102.0,39744,4.405746779388084
3535,Spain,20178.0,4580,4.405676855895196
3536,Oil System Tools,15129.0,3434,4.405649388468259
3537,Anxieties & Phobias,8917.0,2024,4.405632411067193
3538,Summer Event,57334.0,13014,4.405563239588136
3539,Waste Bins,4617.0,1048,4.405534351145038
3540,Chain & Rope Fittings,2511.0,570,4.405263157894737
3541,Sweden,19907.0,4519,4.40517813675592
3542,Auxiliary Electric Cooling Fan Kits,348.0,79,4.405063291139241
3543,Belgium,4612.0,1047,4.404966571155683
3544,Building Toys,410245.0,93133,4.404937025544115
3545,Bins,2872.0,652,4.404907975460123
3546,Metal Filled Epoxies,370.0,84,4.404761904761905
3547,Pavanes,2079.0,472,4.404661016949152
3548,Mutes,3810.0,865,4.404624277456647
3549,Rubber Cement,577.0,131,4.404580152671755
3550,Square Nose End Mills,577.0,131,4.404580152671755
3551,Handheld Bags,969.0,220,4.404545454545454
3552,Clothing Accessories,185964.0,42221,4.404538026100756
3553,Sustainable Development,1198.0,272,4.404411764705882
3554,Reform & Policy,1612.0,366,4.404371584699454
3555,Bulgaria,1013.0,230,4.404347826086957
3556,Rice Flour,207.0,47,4.404255319148936
3557,Label Holders,414.0,94,4.404255319148936
3558,Windshield Washer Fluids,414.0,94,4.404255319148936
3559,"Albums, Cases & Sleeves",12715.0,2887,4.404225839972289
3560,Chest Rubs,1678.0,381,4.404199475065616
3561,MiniSD Cards,4752.0,1079,4.4040778498609825
3562,Durango,6998.0,1589,4.4040276903713025
3563,Fascinators,1766.0,401,4.403990024937656
3564,Travel Totes,29136.0,6616,4.403869407496977
3565,Pickles,229.0,52,4.403846153846154
3566,Safety & Flotation Devices,30686.0,6968,4.403846153846154
3567,Governmental,458.0,104,4.403846153846154
3568,Manganese,458.0,104,4.403846153846154
3569,Cocktail Napkins,916.0,208,4.403846153846154
3570,Tanzania,229.0,52,4.403846153846154
3571,Frame Rulers & Straight Edges,960.0,218,4.4036697247706424
3572,Demons & Devils,69545.0,15793,4.403533210916229
3573,Communications,24448.0,5552,4.403458213256484
3574,Pistol Cases,12017.0,2729,4.403444485159399
3575,Zen Philosophy,3580.0,813,4.403444034440344
3576,Binder Accessories,20837.0,4732,4.403423499577346
3577,Drivetrain Components,30700.0,6972,4.403327596098681
3578,Book Racks,546.0,124,4.403225806451613
3579,Marker Light Assemblies,7067.0,1605,4.403115264797508
3580,Heater,1431.0,325,4.403076923076923
3581,Extension Pipes,295.0,67,4.402985074626866
3582,Trim Kits,4896.0,1112,4.402877697841727
3583,Instrument,4284.0,973,4.402877697841727
3584,Osteoporosis,317.0,72,4.402777777777778
3585,Wire,12429.0,2823,4.402763018065888
3586,British Isles,311422.0,70734,4.4027200497639045
3587,Nursing Pads,12059.0,2739,4.402701715954728
3588,Memorials,9994.0,2270,4.402643171806168
3589,Barbed Hose Fittings,339.0,77,4.402597402597403
3590,Message Labels,339.0,77,4.402597402597403
3591,Dream Pop,40547.0,9210,4.402497285559175
3592,Screw-In Hooks,3315.0,753,4.402390438247012
3593,Class Records & Lesson Books,383.0,87,4.402298850574713
3594,Soprano Sax,788.0,179,4.402234636871508
3595,Surfing Booties,6392.0,1452,4.402203856749312
3596,Trumpet,6634.0,1507,4.402123424021235
3597,Denture Baths,1281.0,291,4.402061855670103
3598,Bookends & Book Racks,5476.0,1244,4.401929260450161
3599,Olive,920.0,209,4.401913875598086
3600,Cushioning Materials,1391.0,316,4.401898734177215
3601,Learning Disorders,471.0,107,4.401869158878505
3602,Wooden Colored Pencils,14689.0,3337,4.4018579562481275
3603,Trigger Snaps,493.0,112,4.401785714285714
3604,Romantic (c.1820-1910),1589.0,361,4.401662049861496
3605,Plush Pillows,32264.0,7330,4.401637107776262
3606,Trivets,14939.0,3394,4.401591043017089
3607,Power Pop,41696.0,9473,4.401562335057532
3608,Bucket Organizers,4516.0,1026,4.401559454191033
3609,Spikes,1985.0,451,4.401330376940133
3610,Manual Sanding Products,2896.0,658,4.401215805471125
3611,Tactical Bags & Packs,46846.0,10644,4.401164975573093
3612,Surfing Fins,1558.0,354,4.401129943502825
